unitid,insname,city,state,lat,long
100937,Birmingham Southern College,Birmingham,Alabama,33.515453,-86.853636
107080,Hendrix College,Conway,Arkansas,35.09972,-92.442021
109785,Azusa Pacific University,Azusa,California,34.130865,-117.88795
110404,California Institute of Technology,Pasadena,California,34.139275,-118.12574
110635,University of California-Berkeley,Berkeley,California,37.871519,-122.260401
110644,University of California-Davis,Davis,California,38.539895,-121.751958
110662,University of California-Los Angeles,Los Angeles,California,34.068892,-118.443901
110680,University of California-San Diego,La Jolla,California,32.876598,-117.237793
112260,Claremont McKenna College,Claremont,California,34.102323,-117.706593
113333,De Anza College,Cupertino,California,37.319176,-122.045365
115409,Harvey Mudd College,Claremont,California,34.106137,-117.710594
120254,Occidental College,Los Angeles,California,34.126224,-118.210783
121257,Pitzer College,Claremont,California,34.103408,-117.705939
121345,Pomona College,Claremont,California,34.098298,-117.711944
123165,Scripps College,Claremont,California,34.103655,-117.711336
123961,University of Southern California,Los Angeles,California,34.021058,-118.283858
125763,Whittier College,Whittier,California,33.977625,-118.028402
126614,University of Colorado Boulder,Boulder,Colorado,40.004415,-105.267061
126678,Colorado College,Colorado Springs,Colorado,38.84657,-104.82422
128902,Connecticut College,New London,Connecticut,41.379833,-72.107321
129020,University of Connecticut,Storrs,Connecticut,41.808205,-72.249519
130590,Trinity College,Hartford,Connecticut,41.746746,-72.688684
130697,Wesleyan University,Middletown,Connecticut,41.55678,-72.656755
130794,Yale University,New Haven,Connecticut,41.311158,-72.926688
131496,Georgetown University,Washington,District of Columbia,38.908809,-77.073463
133492,Eckerd College,Saint Petersburg,Florida,27.718996,-82.685992
133951,Florida International University,Miami,Florida,25.757111,-80.377591
134097,Florida State University,Tallahassee,Florida,30.4421,-84.294801
134130,University of Florida,Gainesville,Florida,29.638248,-82.361195
135717,Miami Dade College,Miami,Florida,25.777717,-80.190856
135726,University of Miami,Coral Gables,Florida,25.720406,-80.27645
136950,Rollins College,Winter Park,Florida,28.591992,-81.348716
137546,Stetson University,DeLand,Florida,29.036295,-81.301604
