unitid,lat,lon,lat1,insname
222567,29.396581,-95.241078,-94.241078,Alvin Community College
222576,35.18841,-101.847104,-100.847104,Amarillo College
222822,31.28736,-94.73163,-93.73163,Angelina College
222831,31.44145,-100.466495,-99.466495,Angelo State University
222992,30.333508,-97.68172,-96.68172,Austin Community College District
223427,30.159713,-96.409677,-95.409677,Blinn College
223506,29.04836,-95.409004,-94.409004,Brazosport College
223524,32.928237,-96.85016,-95.85016,Brookhaven College
223773,32.625686,-96.763421,-95.763421,Cedar Valley College
223816,31.119054,-97.809704,-96.809704,Central Texas College
223898,32.401694,-98.985681,-97.985681,Cisco College
223922,34.945076,-100.904577,-99.904577,Clarendon College
223320,28.435756,-97.75632,-96.75632,Coastal Bend College
226408,29.395514,-94.999739,-93.999739,College of the Mainland
247834,33.16241,-96.63894,-95.63894,Collin County Community College District
224350,27.763623,-97.407627,-96.407627,Del Mar College
224572,32.815679,-96.65947,-95.65947,Eastfield College
224615,32.779817,-96.805361,-95.805361,El Centro College
224642,31.773608,-106.369123,-105.369123,El Paso Community College
224891,35.655151,-101.405653,-100.405653,Frank Phillips College
224961,29.284212,-94.80854,-93.80854,Galveston College
225070,33.706482,-96.633557,-95.633557,Grayson College
225371,32.012892,-97.086255,-96.086255,Hill College
225423,29.737303,-95.376524,-94.376524,Houston Community College
225520,32.252298,-101.450113,-100.450113,Howard College
226019,32.378214,-94.870073,-93.870073,Kilgore College
441760,30.047816,-94.077183,-93.077183,Lamar Institute of Technology
226107,30.091561,-93.732127,-92.732127,Lamar State College-Orange
226116,29.880903,-93.925514,-92.925514,Lamar State College-Port Arthur
226091,30.044274,-94.073389,-93.073389,Lamar University
226134,27.506477,-99.520772,-98.520772,Laredo Community College
226204,29.731654,-94.976724,-93.976724,Lee College
227182,30.188408,-95.490077,-94.490077,Lone Star College System
226578,31.590003,-97.17287,-96.17287,McLennan Community College
226806,32.028578,-102.10539,-101.10539,Midland College
226833,33.877143,-98.51774,-97.51774,Midwestern State University
226930,32.726573,-96.903798,-95.903798,Mountain View College
227146,32.076066,-96.498738,-95.498738,Navarro College
224110,33.618269,-97.165273,-96.165273,North Central Texas College
227191,32.871878,-96.967106,-95.967106,North Lake College
227225,33.104937,-94.881862,-93.881862,Northeast Texas Community College
420398,29.471082,-98.708405,-97.708405,Northwest Vista College
227304,31.866295,-102.381919,-101.381919,Odessa College
246354,29.322925,-98.546713,-97.546713,Palo Alto College
227386,32.15625,-94.356258,-93.356258,Panola College
227401,33.651072,-95.529301,-94.529301,Paris Junior College
227526,30.094591,-95.992066,-94.992066,Prairie View A & M University
227687,32.466916,-98.68041,-97.68041,Ranger College
227766,32.922141,-96.730505,-95.730505,Richland College
227881,30.7247,-95.5519,-94.5519,Sam Houston State University
227924,29.445227,-98.496302,-97.496302,San Antonio College
227979,29.660335,-95.115941,-94.115941,San Jacinto Community College
228158,33.575904,-102.365075,-101.365075,South Plains College
409315,26.217591,-98.253634,-97.253634,South Texas College
382911,32.227753,-101.503419,-100.503419,Southwest Collegiate Institute for the Deaf
228316,29.219676,-99.741245,-98.741245,Southwest Texas Junior College
227854,29.41456,-98.452987,-97.452987,St Philip's College
228431,31.58562,-94.58546,-93.58546,Stephen F Austin State University
228501,30.363418,-103.65007,-102.65007,Sul Ross State University
228529,32.215665,-98.22008,-97.22008,Tarleton State University
228547,32.747501,-97.327948,-96.327948,Tarrant County College District
228608,31.070607,-97.351031,-96.351031,Temple College
228699,33.441916,-94.078821,-93.078821,Texarkana College
226152,27.573504,-99.435225,-98.435225,Texas A & M International University
223214,30.592071,-96.385329,-95.385329,Texas A & M University Health Science Center
228723,30.613226,-96.340322,-95.340322,Texas A & M University-College Station
